ID,Date,Text
-17568841,2019-12-23T21:30:06.000Z,Самариддин Раджабов — тот самый 21-летний рэпер которого судят за брошенную на акции пластиковую бутылку. Сегодня обвинение попросило приговорить его к 35 годам колонии. Мы поговорили с отцом Самариддина который тоже пришел на заседание суда
-17568841,2019-12-23T20:46:06.000Z,«Надеюсь что Путин посмотрит это интервью»Екатерина Винокурова рассказывает Илье Азару как на нее «наорал Фадеев» из-за вопроса президенту про Беслан; говорит что ее уволили из «Знака» из-за работы в СПЧ; объясняет из-за чего перешла работать на RT. Полная версия интервью уже на сайте:
-17568841,2019-12-23T20:30:07.000Z,Чиновников могут лишить личных авто и пересадить на такси. Во всяком случае документ с таким проектом сегодня появился в интернете. Возможно ли такое в стране где престиж и значимость чиновника измеряются роскошью кабинета и автомобиля?
-17568841,2019-12-23T19:59:06.000Z,Противники закона о домашнем насилии продолжают изобретать все новые способы борьбы. В этот раз в ход пошло молитвенное стояние
-17568841,2019-12-23T19:43:30.000Z,«Фадеев на меня начал орать на тему того что я себе позволяю хотя я всего-навсего хотела высказать свое мнение. Фадеев не подходит на роль главы Совета по правам человека и гражданскому обществу потому что он не понимает что такое права человека и гражданское общество»Екатерина Винокурова рассказала о конфликте с новым главой СПЧ Валерием Фадеевым. По ее словам это произошло из-за вопроса Путину про пострадавших в Беслане
-17568841,2019-12-23T19:29:07.000Z,Сегодня Владимир Путин открывал железнодорожное сообщение с Крымом. По количеству и уровню шуток это мероприятие почти сравнялось с пресс-конференцией —  сами послушайте:
-17568841,2019-12-23T19:16:18.000Z,«Фадееву я просто не нравлюсь»Екатерина Винокурова в программе у Ильи Азара. Прямо сейчас — о конфликте с Фадеевым СПЧ и переходе на RT. Подключайтесь: https://tvrain.ru/s/kmE/
-17568841,2019-12-23T18:59:09.000Z,У сотрудника ФБК Руслана Шаведдинова прошел обыск после чего его забрали на допрос. Ему отключили сотовую связь
-17568841,2019-12-23T18:30:07.000Z,Следим за пресс-конференцией Рамзана Кадырова. Оказывается единственная проблема Чечни — безработица а глава республики переживая за российский спорт и проблемы с допингом сам пробовал мельдоний
-17568841,2019-12-23T18:15:19.000Z,Фото дня: Первый поезд Санкт-Петербург — Севастополь отправляется с Московского вокзала. 23 декабря открылось железнодорожное сообщение с Крымом. Фото: Петр Ковалев / ТАСС
-17568841,2019-12-23T17:59:05.000Z,Журналистка телеканала «Ямал-Регион» уволилась через несколько дней после пресс-конференции Путина на которой она спросила о строительстве моста через Обь. По информации СМИ это произошло из-за того что вопрос не понравился местным властям
-17568841,2019-12-23T17:30:06.000Z,«Я делал фильм о людях сегодняшних чтобы они смотрели на себя и делали выводы»Интервью с Константином Эрнстом: говорим о фильме «Союз спасения» который он продюсировал а еще — об исторической памяти ненависти к большевикам и мотивах которые движут людьми выходящими на площадь
-17568841,2019-12-23T17:00:14.000Z,В августе 1998 года вся страна выучила слова «технический дефолт». О причинах и последствиях кризиса рассказывает бывший председатель Центробанка Сергей Дубинин «Околоперестройка» — это наш совместный проект с [club72326580|ОНА РАЗВАЛИЛАСЬ] о 90-х самом противоречивом и интересном десятилетии в нашей новейшей истории
-17568841,2019-12-23T16:30:57.000Z,Обвинение попросило приговорить фигуранта «московского дела» Самариддина Раджабова к 35 годам колонии: https://tvrain.ru/s/APK/
-17568841,2019-12-23T16:17:34.000Z,Журналистка издания Baza Анна Никитина подала заявление в СК из-за травм которые ей нанесли полицейские в квартире Евгения Манюрова. Они пришли с обыском когда Никитина брала интервью у его матери
-17568841,2019-12-23T16:02:55.000Z,«Четыре партии в Думе для такой страны как Россия — это противоестественно. Такой парламент не может быть репрезентативным»Екатерина Шульман анализирует текущее состояние российского общества: на кого мы похожи больше — на Европу или на Китай как будут меняться настроения в ближайшее время и как власть может на это отреагировать
-17568841,2019-12-23T15:30:07.000Z,После того как Facebook подтвердил утечку данных пользователей Марку Цукербергу пришлось дать показания Конгрессу США и начать общаться с журналистами. Он дал интервью главным мировым изданиям но проигнорировал The Guardian. В итоге журналисты взяли интервью у «Цукербота» — алгоритма который обучался на основе интервью речей и записей в соцсетях Цукерберга
-17568841,2019-12-23T15:00:11.000Z,По данным опроса «Левада-центра» 43% россиян считают что в 2019 году уровень жизни в стране изменился к худшему: https://tvrain.ru/s/APA/
-17568841,2019-12-23T14:30:04.000Z,У нас на сайте можно посмотреть документальный сериал Андрея Лошака «Холивар» об истории рунета. Этот эпизод посвящен тому что было в самом начале: ворованный американский софт Анекдот.ру первые шаги Артемия Лебедева и Антона Носика
-17568841,2019-12-23T14:02:13.000Z,Космос — это любимая тема наших ведущих. Мало того что космодром «Восточный» требует все больше денег так у Дмитрия Рогозина родился новый проект: лифт на Луну. Собрали для вас подборку тематических новостей:
-17568841,2019-12-23T13:30:06.000Z,Владимир Путин открыл железнодорожное движение по Крымскому мосту. В этот раз он решил уступить управление машинисту:
-17568841,2019-12-23T13:04:05.000Z,В Приморье бывших военных приговорили к десяти и к шести годам колонии. Они до смерти избили сослуживца-контрактника
-17568841,2019-12-23T12:29:09.000Z,Больше всего кредитов в России берут жители Калмыкии Курганской области и Тувы: https://tvrain.ru/s/APl/
-17568841,2019-12-23T12:02:04.000Z,Мать фигурантки дела «Нового величия» оштрафовали за одиночный пикет возле Кремля
-17568841,2019-12-23T11:29:05.000Z,Утренники в школах уже не те
